"","author_list","title","journal","year","language","language_comments","evidence_point_ID","country","country_comments","locality","coordinates_N","coordinates_E","year_start","year_end","elevation","elevation_DEM","study_design","study_design_comments","experimental_design","study_method","study_method_comments","exposure_quantification","exposure_quantification_comments","additional_exposures","additional_treatments_comments","extent_of_spatial_scale","spatial_resolution_recorded","spatial_resolution_reported","extent_of_temporal_scale","temporal_resolution","redundancy","biological_organization_level_recorded","biological_organization_recorded_comments","biological_organization_level_reported","biological_organization_reported_comments","identity_of_biological_organization_unit","management_plant","conservation_plant","conservation_plant_comments","measured_response_variable","measured_response_comments","herbivore_identity","herbivore_type","herbivore_type_comments","herbivory_season","herbivory_season_comment","effect_type","effect_type_comments","management_herbivore","management_herbivore_comments","conservation_herbivore","conservation_herbivore_comments","management","management_area","conservation_study_area","conservation_study_area_comment","temperature","temperature_measure","precipitation","precipitation_measure","distance_from_coast","soil_type.","productivity_P","habitat_type_P","disturbance","disturbance_comment","food_web_context_other_herbivores","food_web_context_predators","conservation_focus","comment","coding.person","coding.checked","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","north_of_treeline","ArcticHerbivore_Species.richness","ArcticHerbivore_Phylogenetic.diversity","ArcticHerbivore_Functional.diversity","GPW","Footprint","Current.NDVI","CurrentGrowingSeasonLength","NDVI.trend","GrowingSeasonLength.trend","Temperature.anomaly","coords.x1","coords.x2","optional"
"1","Leffler, Beard, Kelsey, Choi, Schmutz, Welker","Delayed herbivory by migratory geese increases summer-long CO2 uptake in coastal western Alaska","Global Change Biology",2019,"english",NA,"3_a","Alaska",NA,"Tutakoke River",61.25,-165.62,"2014","2016","not reported",NA,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"warming","phenological advance using warming","from 1x1 km to 10x10 km","from  1x1 m to 10x10 m (including 10x10m)","from  1x1 m to 10x10 m (including 10x10m)","3","regular with intervals shorter than a year","not redundant","community",NA,"community",NA,"not reported","managed grazing","not reported",NA,"several","productivity, morphological measure","Branta_bernicla_nigricans","waterfowl",NA,"several","spring, summer","removal of plant parts","grazing","non-managed",NA,"not reported",NA,"managed herbivore","current","not reported","not reported","-14, 10","winter_mean, summer_mean","87_109","range_annual_sums_during_study",28.6966890061853,"G","not reported","brackish_wet_sedge_meadow","flooding",NA,"not reported","not reported","not reported",NA,"Petr Macek","Eeva Soininen",-11,68,23,8249,138,-153,291,91,-87,95,-110,659,134,24,62,314,85,256,90,132.126852361615,0.27344881037419,0.544935931831276,0.92257138199698,1.16226145354381,4.02879073079666,117.221202321685,156.524941204452,0.13840072057021,0.113488748614039,6.31463569124866,-165.62,61.25,TRUE
"2","Barthelemy, Stark, Michelsen, Olofsson","Urine is an important nitrogen source for plants irrespective of vegetation composition in an Arctic tundra: Insights from a N-15-enriched urea tracer experiment","Journal of Ecology",2018,"english",NA,"23_a","Norway",NA,"Raisduoddar",69.516667,21.316667,"2011","2012","600_700",441,"experimental",NA,"control-impact","field",NA,"fence",NA,"nutrient manipulation",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","2","twice, interval one year or shorter","not redundant","population/species",NA,"groups of species",NA,"Betula_nana, other_deciduous_shrub_species, Empetrum_hermaphroditum, other_evergreen_shrub_species, forbs, graminoids, cryptogams","managed grazing","not reported",NA,"biomass",NA,"Rangifer_tarandus","other vertebrates",NA,"several","summer, autumn, spring","several","removal of plant parts, disturbance, fertilizing","not reported",NA,"no concern",NA,"not reported","historical and current","not reported",NA,"-0.6","annual_mean","935","annual_mean",42.3492280621026,"P","not reported","tundra","not reported",NA,"not reported","not reported","not reported","experimental design across the two sides of the fence","Petr Macek","Eeva Soininen, Isabel C Barrio",-22,75,23,8357,146,-173,319,91,-37,91,-124,524,69,28,25,167,89,167,130,-233.749538914081,0.206447749472759,0.407012016817128,0.877137947770258,1.48760217669174,6.09170622363754,59.9610917814787,98.7096773236306,-0.0299581087187308,-0.0256666609924855,1.1728071652031,21.316667,69.516667,TRUE
"3","Bognounou, Hulme, Oksanen, Suominen, Olofsson","Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line","Journal of Vegetation Science",2018,"english",NA,"25_a","Norway",NA,"Joatka",69.753055,24,"1999","2007","not reported",440,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","from  1x1 m to 10x10 m (including 10x10m)","9","irregular with intervals longer than a year","not redundant","individual",NA,"individual",NA,"Picea_abies, Pinus_sylvestris, Larix_sibirica","not reported","not reported",NA,"several","survival/mortality, reproduction/recruitment, morphological measure","Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus","several","other vertebrates, small rodents and pikas","several","spring, autumn, summer, not reported","not reported",NA,"several","semi-domesticated, non-managed","not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","354","annual_mean",48.0526601733813,"P","not reported","dwarf_shrub_heath","not reported",NA,"documented by referring to another study","not reported","not reported","Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here","Petr Macek","Eeva Soininen, Isabel C Barrio",-41,87,23,9520,147,-221,368,86,-55,86,-160,595,75,37,20,186,117,186,136,-106.063525326086,0.202898550724638,0.409832105676728,0.876099923582508,2.72238343794086,4.99540553919957,55.45092577092,102.667271382665,0.0875967893511954,0.061478446236424,1.1728071652031,24,69.753055,TRUE
"4","Bognounou, Hulme, Oksanen, Suominen, Olofsson","Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line","Journal of Vegetation Science",2018,"english",NA,"25_b","Norway",NA,"Seiland",70.506111,23.528056,"1999","2007","not reported",120,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","from  1x1 m to 10x10 m (including 10x10m)","9","irregular with intervals longer than a year","not redundant","individual",NA,"individual",NA,"Picea_abies, Pinus_sylvestris, Larix_sibirica","not reported","not reported",NA,"several","survival/mortality, reproduction/recruitment, morphological measure","Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus","several","other vertebrates, small rodents and pikas","several","spring, autumn, summer, not reported","not reported",NA,"several","reindeer: semi-domesticated, voles and lemmings non-managed","not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","734","annual_mean",11.5754918079848,"I","not reported","dwarf_shrub_heath","not reported",NA,"documented by referring to another study","not reported","not reported","Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here","Petr Macek","Eeva Soininen, Isabel C Barrio",-14,80,23,8615,157,-177,334,-64,27,101,-121,629,65,37,18,193,123,149,178,-161.991089190587,0.202898550724638,0.387683989178118,0.867550009486839,2.72238343794086,4.99540553919957,75.171525595509,114.939616640133,0.548619306190327,0.428122786407736,1.11526217907079,23.528056,70.506111,TRUE
"5","Bognounou, Hulme, Oksanen, Suominen, Olofsson","Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line","Journal of Vegetation Science",2018,"english",NA,"25_c","Sweden",NA,"Paddus",68.323056,18.865833,"1999","2007","not reported",585,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","from  1x1 m to 10x10 m (including 10x10m)","9","irregular with intervals longer than a year","not redundant","individual",NA,"individual",NA,"Picea_abies, Pinus_sylvestris, Larix_sibirica","not reported","not reported",NA,"several","survival/mortality, reproduction/recruitment, morphological measure","Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus","several","other vertebrates, small rodents and pikas","several","spring, autumn, summer, not reported","not reported",NA,"several","reindeer: semi-domesticated, voles and lemmings non-managed","not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","304","annual_mean",42.4838561640074,"I","not reported","dwarf_shrub_heath","not reported",NA,"documented by referring to another study","not reported","not reported","Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here","Petr Macek","Eeva Soininen, Isabel C Barrio",-15,70,24,7493,142,-146,288,76,-71,87,-106,460,69,21,37,179,70,171,95,-385.569390093602,0.217246296957445,0.41505885077107,0.881045298604862,2.67364705187755,2.61493547519835,92.132687603068,123.138941059253,0.239795810065841,0.0748730900241863,1.28289531052881,18.865833,68.323056,TRUE
"6","Bognounou, Hulme, Oksanen, Suominen, Olofsson","Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line","Journal of Vegetation Science",2018,"english",NA,"25_d","Sweden",NA,"Vassijaure",68.440556,18.274722,"1999","2007","not reported",499,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","from  1x1 m to 10x10 m (including 10x10m)","9","irregular with intervals longer than a year","not redundant","individual",NA,"individual",NA,"Picea_abies, Pinus_sylvestris, Larix_sibirica","not reported","not reported",NA,"several","survival/mortality, reproduction/recruitment, morphological measure","Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus","several","other vertebrates, small rodents and pikas","several","spring, autumn, summer, not reported","not reported",NA,"several","reindeer: semi-domesticated, voles and lemmings non-managed","not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","848","annual_mean",42.4838561640074,"I","not reported","dwarf_shrub_heath","not reported",NA,"documented by referring to another study","not reported","not reported","Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here","Petr Macek","Eeva Soininen, Isabel C Barrio",-3,67,25,6888,143,-122,265,82,-18,91,-85,580,71,28,29,202,93,185,132,-385.569390093602,NA,NA,NA,2.67364705187755,2.61493547519835,94.8557867982789,128.823031938266,0.118457177865902,0.109026459767074,1.28289531052881,18.274722,68.440556,TRUE
"7","Bråthen, Gonzalez, Yoccoz","Gatekeepers to the effects of climate warming? Niche construction restricts plant community changes along a temperature gradient","Perspectives in Plant Ecology and Systematics",2018,"english",NA,"28_a","Norway",NA,"Fennoscandia",70,25,"2003","2003","not reported",120,"quasi-experimental",NA,"control-impact","field",NA,"fence",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","from 10x10 m to 100x100 m (including 100x100 m)","1","once","not redundant","population/species",NA,"several","population/species, groups of species, community","forbs, grasses, sedges, deciduous_shrubs, evergreen_shrubs, vascular_cryptogams, Empetrum_nigrum, total_community","managed grazing","not reported",NA,"several","biomass, reproduction/recruitment","Rangifer_tarandus","other vertebrates",NA,"summer",NA,"not reported",NA,"semi-domesticated",NA,"no concern",NA,"managed herbivore","not reported","not reported",NA,"not reported","not reported","56","summer_mean",48.0526601733813,"I","not reported","alpine_tundra","not reported",NA,"not reported","not reported","not reported",NA,"Petr Macek","Eeva Soininen, Isabel C Barrio",-25,90,24,9510,163,-208,371,88,-94,101,-145,482,68,26,29,169,83,167,98,-106.063525326086,0.202898550724638,0.409832105676728,0.876099923582508,0.770753585180106,3.22390681616376,51.0592127955832,96.4523838372717,-0.0405413714380748,-0.152185143474254,1.1728071652031,25,70,TRUE
"8","Carlson, Beard, Adler","Direct effects of warming increase woody plant abundance in a subarctic wetland","Ecology and Evolution",2018,"english",NA,"30_a","Alaska",NA,"Tutakoke River",61.25,-165.5,"2015","2016","3",3,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"warming",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","2","twice, interval longer than one year","not redundant","population/species",NA,"population/species",NA,"Salix_ovalifolia, Carex_ramenskii","not reported","not reported",NA,"cover",NA,"Branta_bernicla_nigricans, Branta_hutchinsii_minima, Chen_canagica, Anser_albifrons","waterfowl",NA,"summer",NA,"several","removal of plant parts, fertilizing","non-managed",NA,"no concern",NA,"not reported","not reported","not reported",NA,"-14.1, 13.3","winter_mean, summer_mean","41.1, 157","mean_rainfall, mean_snowfall",28.6966890061853,"G","not reported","wet_sedge_meadow","flooding",NA,"not reported","not reported","not reported",NA,"Petr Macek","Eeva Soininen, Isabel C Barrio",-12,69,23,8298,139,-153,292,91,-86,96,-111,657,133,24,61,313,85,255,90,132.126852361615,0.27344881037419,0.544935931831276,0.92257138199698,1.16226145354381,4.02879073079666,117.221202321685,156.524941204452,0.13840072057021,0.113488748614039,6.31463569124866,-165.5,61.25,TRUE
"9","Gamarra, Callaghan, Bylund, Gwynn-Jones","Larval crowding during an insect outbreak reduces herbivory pressure on preferred shrubs in a warmer environment","Agricultural and Forest Meteorology",2018,"english",NA,"50_a","Sweden",NA,"Abisko",68.35,18.82,"2004","2004","360",356,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"several","warming, CO2","not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","1","twice, interval one year or shorter","not redundant","groups of species",NA,"groups of species",NA,"Vaccinium_myrtillus, evergreen_species, other_species","not reported","no concern",NA,"cover",NA,"Epirrita_autumnata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not relevant",NA,"not reported","not reported","not relevant",NA,"not reported","not reported","not reported","not reported",42.4838561640074,"I","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","The site, with a Sub-arctic montane climate, was based in a mountain birch forest with a ground layer dominated by a dwarf shrub community composed mostly by the deciduous Vaccinium myrtillus (bilberry) and two evergreen shrubs, Vaccinium vitis-idaea (lingonberry) and Empetrum nigrum (black crowberry) plus other deciduous shrubs (Betula nana), grasses and herbs (e.g. Deschampsia flexuosa, Cornus suecica). The study includes also a modelling component based on the field results and projections of warming and CO2 --> include here only experiment in the field","Olivier Gilg","Eeva Soininen, Isabel C Barrio",0,69,24,7350,154,-128,282,89,-56,100,-89,395,60,16,41,158,57,146,81,-385.569390093602,0.217246296957445,0.41505885077107,0.881045298604862,2.67364705187755,2.61493547519835,94.2381873684714,127.15876363894,0.252573914017186,0.0897008841927475,1.28289531052881,18.82,68.35,TRUE
"10","Gough, Johnson","Mammalian herbivory exacerbates plant community responses to long-term increased soil nutrients in two Alaskan tundra plant communities","Arctic Science",2018,"english",NA,"54_a","Alaska",NA,"Toolik Lake",68.2,-149.6,"1998","2006","760",1870,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"nutrient manipulation",NA,"from 1x1 km to 10x10 km","from  1x1 m to 10x10 m (including 10x10m)","from  1x1 m to 10x10 m (including 10x10m)","9","irregular with intervals longer than a year","not redundant","population/species",NA,"several","population/species, community","Eriophorum_spp, Betula_nana","not reported","not reported",NA,"several","other abundance measure, diversity, cover","Microtus_oeconomus, Microtus_miurus, Dicronstonyx_rubricatus, Rangifer_tarandus","several","small rodents and pikas, other vertebrates","not reported",NA,"not reported",NA,"not reported",NA,"not relevant",NA,"not reported","current","not reported",NA,"not reported","not reported","not reported","not reported",233.971087240669,"I","high_productivity_sites","moist_acidic_tussock_tundra","not reported",NA,"not reported","not reported","not reported","Separated into two evidence points","Bernice Hwang","Eeva Soininen, Isabel C Barrio",-148,112,22,14005,130,-369,499,43,-181,43,-309,252,51,9,69,138,33,138,34,40.0081087477595,0.310584782235822,0.633628031858002,0.929274942433674,0.00296215230669452,0.428526183927138,32.7693138870862,92.4305436164302,0.0311647517327078,-0.0514555061866662,6.39962484852824,-149.6,68.2,TRUE
